Literature,D_exp,T_C
Dorner et al.,1.70E-12,1064.121845
Dorner et al.,6.99E-13,999.07204
Dorner et al.,4.37E-13,966.9010063
Dorner et al.,3.54E-13,951.4188296
Dorner et al.,1.62E-13,917.958245
Dorner et al.,1.80E-13,907.2069847
Dorner et al.,8.66E-14,866.07671
Dorner et al.,2.61E-14,815.4981664
Dorner et al.,2.23E-14,800.6006957
Dorner et al.,9.19E-15,766.4578188
Dorner et al.,4.42E-15,726.7200784
Dorner et al.,3.24E-15,699.450478
Dorner et al.,2.25E-15,682.8584565
Dorner et al.,1.92E-15,685.193996
Dorner et al.,2.78E-16,617.7416315
Dorner et al.,2.38E-16,623.852943
Dorner et al.,4.48E-17,557.3923604
Dorner et al.,8.06E-19,455.586833
Dorner et al.,1.67E-18,455.586833
Swaatzky et al.,2.64E-16,625.9087248
Swaatzky et al.,1.03E-16,596.0286866
Swaatzky et al.,5.24E-17,575.3563097
Swaatzky et al.,1.10E-17,528.5453795
Swaatzky et al.,1.86E-18,485.1616097
